species,IUCN Status,EPBC Status,NSW Status
Limnodynastes dorsalis,,,
Limnodynastes dumerilii ,,,
Limnodynastes fletcheri ,,,
Limnodynastes interioris,,,
Limnodynastes lignarius ,,,
Limnodynastes peronii ,,,
Limnodynastes salmini,,,
Limnodynastes tasmaniensis ,,,
Limnodynastes terraereginae ,,,
Litoria adelaidensis,,,
Litoria andiirrmalin,VU,,
Litoria aurea ,VU,VU,EN
Litoria aurifera,,,
Litoria axillaris,,,
Litoria barringtonensis,,,
Litoria bella,,,
Litoria bicolor,,,
Litoria booroolongensis ,CR,EN,EN
Litoria brevipalmata ,EN,,VU
Litoria burrowsi,,,
Litoria caerulea,,,
Litoria castanea,CR,EN,CR
Litoria cavernicola,,,
Litoria chloris ,,,
Litoria citropa ,,,
Litoria cooloolensis,EN,,
Litoria coplandi ,,,
Litoria cyclorhyncha ,,,
Litoria dahlii ,,,
Litoria daviesae,VU,,VU
Litoria dayi,EN,EN,
Litoria dentata ,,,
Litoria electrica,,,
Litoria eucnemis ,,,
Litoria ewingii,,,
Litoria fallax ,,,
Litoria freycineti ,VU,,
Litoria gilleni ,,,
Litoria gracilenta,,,
Litoria inermis ,,,
Litoria infrafrenata,,,
Litoria jervisiensis ,,,
Litoria jungguy,,,
Litoria kroombitensis,,,
Litoria latopalmata,,,
Litoria lesueuri,,,
Litoria littlejohni ,,VU,VU
Litoria longirostris,,,
Litoria lorica,CR,CR,
Litoria meiriana,,,
Litoria microbelos,,,
Litoria moorei,,,
Litoria myola,CR,EN,
Litoria nannotis,EN,EN,
Litoria nasuta,,,
Litoria nigrofrenata,,,
Litoria nudidigita,,,
Litoria nyakalensis,CR,CR,
Litoria olongburensis,VU,VU,VU
Litoria pallida,,,
Litoria paraewingi,,,
Litoria pearsoniana ,,,
Litoria peronii ,,,
Litoria personata ,,,
Litoria phyllochroa,,,
Litoria piperata,CR,VU,CR
Litoria raniformis ,EN,VU,EN
Litoria revelata,,,
Litoria rheocola,EN,EN,
Litoria rothii ,,,
Litoria rubella,,,
Litoria serrata ,,,
Litoria spenceri ,CR,EN,CR
Litoria splendida ,,,
Litoria staccato,,,
Litoria subglandulosa,VU,,VU
Litoria tornieri ,,,
Litoria tyleri ,,,
Litoria verreauxii ,,,
Litoria watjulumensis,,,
Litoria wilcoxii,,,
Litoria xanthomera ,,,
Metacrinia nichollsi,,,
Mixophyes balbus ,VU,VU,EN
Mixophyes carbinensis,,,
Mixophyes coggeri,,,
Mixophyes fasciolatus,,,
Mixophyes fleayi,EN,EN,EN
Mixophyes iteratus,EN,EN,EN
Mixophyes schevilli,,,
Myobatrachus gouldii,,,
Neobatrachus albipes ,,,
Neobatrachus aquilonius,,,
Neobatrachus fulvus,,,
Neobatrachus kunapalari,,,
Neobatrachus pelobatoides ,,,
Neobatrachus pictus ,,,EN
Neobatrachus sudellae ,,,
Neobatrachus sutor,,,
Neobatrachus wilsmorei,,,
Notaden bennettii ,,,
Notaden melanoscaphus ,,,
Notaden nichollsi,,,
Notaden weigeli ,,,
Papurana daemeli ,,,
Paracrinia haswelli ,,,
Philoria frosti ,CR,EN,
Philoria kundagungan,EN,,EN
Philoria loveridgei,EN,,EN
Philoria pughi,EN,,EN
Philoria richmondensis,EN,,EN
Philoria sphagnicola,EN,,VU
Platyplectrum ornatum,,,
Platyplectrum spenceri,,,
Pseudophryne australis ,VU,,VU
Pseudophryne bibronii,,,
Pseudophryne coriacea ,,,
Pseudophryne corroboree ,CR,CR,CR
Pseudophryne covacevichae ,EN,VU,
Pseudophryne dendyi ,,,
Pseudophryne douglasi ,,,
Pseudophryne guentheri ,,,
Pseudophryne major,,,
Pseudophryne occidentalis,,,
Pseudophryne pengilleyi ,EN,CR,CR
Pseudophryne raveni,,,
Pseudophryne robinsoni,,,
Pseudophryne semimarmorata ,,,
Rheobatrachus silus ,EX,EX,
Rheobatrachus vitellinus ,EX,EX,
Rhinella marina,,,
Spicospina flammocaerulea,VU,EN,
Taudactylus acutirostris ,CR,EX,
Taudactylus diurnus ,EX,EX,
Taudactylus eungellensis ,CR,EN,
Taudactylus liemi,,,
Taudactylus pleione,CR,CR,
Taudactylus rheophilus,CR,EN,
Uperoleia altissima ,,,
Uperoleia arenicola,,,
Uperoleia aspera,,,
Uperoleia borealis,,,
Uperoleia crassa,,,
Uperoleia daviesae,,,
Uperoleia fusca,,,
Uperoleia glandulosa,,,
Uperoleia inundata,,,
Uperoleia laevigata ,,,
Uperoleia lithomoda,,,
Uperoleia littlejohni,,,
Uperoleia mahonyi,,,EN
Uperoleia marmorata,,,
Uperoleia martini,,,
Uperoleia micra,,,
Uperoleia micromeles,,,
Uperoleia mimula,,,
Uperoleia minima,,,
Uperoleia mjobergii,,,
Uperoleia orientalis,,,
Uperoleia rugosa,,,
Uperoleia russelli ,,,
Uperoleia saxatilis,,,
Uperoleia stridera,,,
Uperoleia talpa,,,
Uperoleia trachyderma,,,
Uperoleia tyleri ,,,
